a,b,c,d,pm
1.12e-05,0.000132012,4.266667e-06,90.24746783,94.13079116
1.12e-05,0.000132012,4.266667e-06,89.07840991,92.90746644
1.12e-05,0.000132012,4.266667e-06,87.99009246,91.75653127
1.12e-05,0.000132012,4.266667e-06,86.96351097,90.66432732
1.12e-05,0.000132012,4.266667e-06,85.99222166,89.62284408
1.12e-05,0.000132012,4.266667e-06,85.75150768,88.88344647
1.12e-05,0.000132012,4.266667e-06,85.5853826,88.67975778
1.12e-05,0.000132012,4.266667e-06,85.41535279,88.47878752
1.12e-05,0.000132012,4.266667e-06,85.24285244,88.26964599
1.12e-05,0.000132012,4.266667e-06,85.06857184,88.05899136
1.12e-05,0.000132012,4.266667e-06,84.8934119,87.84767037
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.533333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.533333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.533333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.533333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.533333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.533333e-06,99.45785989,97.46498912
1.12e-05,0.000132012,4.533333e-06,96.14243056,93.02387165
1.12e-05,0.000132012,4.533333e-06,93.59378307,88.95258285
1.12e-05,0.000132012,4.533333e-06,92.37727855,85.9647133
1.12e-05,0.000132012,4.533333e-06,91.23424204,83.17195567
1.12e-05,0.000132012,4.533333e-06,90.15064803,79.59721209
1.12e-05,0.000132012,4.533333e-06,89.11840755,75.40039081
1.12e-05,0.000132012,4.533333e-06,88.4511949,71.21029572
1.12e-05,0.000132012,4.533333e-06,88.25708472,67.47138156
1.12e-05,0.000132012,4.533333e-06,88.05518864,64.28077648
1.12e-05,0.000132012,4.533333e-06,87.85103059,61.578875
1.12e-05,0.000132012,4.533333e-06,87.64531785,59.27629331
1.12e-05,0.000132012,4.533333e-06,87.43891679,57.29467465
1.12e-05,0.000132012,4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4e-06,97.48893279,97.43827436
1.12e-05,0.000132012,4e-06,92.3237253,91.97910581
1.12e-05,0.000132012,4e-06,87.83429907,87.52451502
1.12e-05,0.000132012,4e-06,85.10860944,84.70035377
1.12e-05,0.000132012,4e-06,82.14122872,81.65633921
1.12e-05,0.000132012,4e-06,78.51464608,78.00569849
1.12e-05,0.000132012,4e-06,74.38641083,73.90547028
1.12e-05,0.000132012,4e-06,70.3108262,69.87845615
1.12e-05,0.000132012,4e-06,66.67270769,66.28385227
1.12e-05,0.000132012,4e-06,63.55373999,63.19628901
1.12e-05,0.000132012,4e-06,60.89792651,60.62157897
1.12e-05,0.000132012,4e-06,58.65328973,58.65829115
1.12e-05,0.000132012,4e-06,56.93292742,56.94489708
1.12e-05,0.000132012,5.6e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.6e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.6e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.6e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.6e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.6e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.6e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.6e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.6e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.6e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.6e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.6e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.6e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.6e-06,97.28726933,96.88709525
1.12e-05,0.000132012,5.6e-06,91.3134411,90.09465848
1.12e-05,0.000132012,5.6e-06,86.93783319,85.85302929
1.12e-05,0.000132012,5.6e-06,83.92638604,82.53818069
1.12e-05,0.000132012,5.6e-06,80.74591243,79.13543431
1.12e-05,0.000132012,5.6e-06,77.05074667,75.36402905
1.12e-05,0.000132012,5.6e-06,72.99736913,71.37935162
1.12e-05,0.000132012,5.6e-06,69.05428794,67.91448821
1.12e-05,0.000132012,5.6e-06,65.53603396,65.0688723
1.12e-05,0.000132012,5.6e-06,62.80298643,62.54204655
1.12e-05,0.000132012,5.6e-06,60.5637445,60.33500074
1.12e-05,0.000132012,5.6e-06,58.61630616,58.40979218
1.12e-05,0.000132012,5.6e-06,56.91423638,56.723093
1.12e-05,0.000132012,5.066667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.066667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.066667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.066667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.066667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.066667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.066667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.066667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.066667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.066667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.066667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.066667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.066667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.066667e-06,96.99367908,97.19557917
1.12e-05,0.000132012,5.066667e-06,90.38505094,90.99435596
1.12e-05,0.000132012,5.066667e-06,86.11290022,86.65525529
1.12e-05,0.000132012,5.066667e-06,82.86674069,83.56020111
1.12e-05,0.000132012,5.066667e-06,79.51436163,80.31856407
1.12e-05,0.000132012,5.066667e-06,75.76056439,76.60282671
1.12e-05,0.000132012,5.066667e-06,71.76108375,72.56925119
1.12e-05,0.000132012,5.066667e-06,68.01029302,68.66274613
1.12e-05,0.000132012,5.066667e-06,65.15193768,65.30643005
1.12e-05,0.000132012,5.066667e-06,62.61538852,62.7472888
1.12e-05,0.000132012,5.066667e-06,60.40152103,60.5174423
1.12e-05,0.000132012,5.066667e-06,58.47167297,58.57657013
1.12e-05,0.000132012,5.066667e-06,56.78183335,56.87911608
1.12e-05,0.000132012,5.333333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.333333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.333333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.333333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.333333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.333333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.333333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.333333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.333333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.333333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.333333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.333333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.333333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.333333e-06,96.77849889,96.64502733
1.12e-05,0.000132012,5.333333e-06,89.81346172,89.64547004
1.12e-05,0.000132012,5.333333e-06,85.6004672,85.3549762
1.12e-05,0.000132012,5.333333e-06,82.2208667,81.91417091
1.12e-05,0.000132012,5.333333e-06,78.77065688,78.41913278
1.12e-05,0.000132012,5.333333e-06,74.98251537,74.61507343
1.12e-05,0.000132012,5.333333e-06,71.01141245,70.74363995
1.12e-05,0.000132012,5.333333e-06,67.81718311,67.71892623
1.12e-05,0.000132012,5.333333e-06,64.98316176,64.89548727
1.12e-05,0.000132012,5.333333e-06,62.46517946,62.38557044
1.12e-05,0.000132012,5.333333e-06,60.26430346,60.19028901
1.12e-05,0.000132012,5.333333e-06,58.34324915,58.27296202
1.12e-05,0.000132012,5.333333e-06,56.65932117,56.59148138
1.12e-05,0.0003889991,2.4e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.4e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.4e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.4e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.4e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.4e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.4e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.4e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.4e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.4e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.4e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.4e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.4e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.4e-06,86.57818717,87.45518034
1.12e-05,0.0003889991,2.4e-06,87.81544001,88.66845542
1.12e-05,0.0003889991,2.4e-06,88.96848599,89.79810965
1.12e-05,0.0003889991,2.4e-06,90.21154647,91.01448902
1.12e-05,0.0003889991,2.4e-06,91.43780306,92.22330474
1.12e-05,0.0003889991,2.4e-06,92.51557329,93.28808172
1.12e-05,0.0003889991,2.4e-06,93.47279272,94.23548626
1.12e-05,0.0003889991,2.4e-06,94.27288761,94.99752524
1.12e-05,0.0003889991,2.4e-06,94.56609399,95.25232736
1.12e-05,0.0003889991,2.4e-06,94.62919235,95.27711548
1.12e-05,0.0003889991,2.4e-06,94.48450857,95.09297469
1.12e-05,0.0003889991,2.4e-06,94.15224355,94.68480025
1.12e-05,0.0003889991,2.4e-06,92.8238858,93.10811483
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.666667e-06,88.93439906,89.56456466
1.12e-05,0.0003889991,2.666667e-06,90.10226926,90.71375402
1.12e-05,0.0003889991,2.666667e-06,91.19416276,91.79045921
1.12e-05,0.0003889991,2.666667e-06,92.36510158,92.94142267
1.12e-05,0.0003889991,2.666667e-06,93.54746105,94.11963026
1.12e-05,0.0003889991,2.666667e-06,94.59304737,95.15202072
1.12e-05,0.0003889991,2.666667e-06,95.52653647,96.08060421
1.12e-05,0.0003889991,2.666667e-06,96.22434869,96.75127468
1.12e-05,0.0003889991,2.666667e-06,96.41812216,96.92047297
1.12e-05,0.0003889991,2.666667e-06,96.38146345,96.85887722
1.12e-05,0.0003889991,2.666667e-06,96.13321686,96.58420027
1.12e-05,0.0003889991,2.666667e-06,95.35310881,95.62969387
1.12e-05,0.0003889991,2.666667e-06,93.53705947,93.71225115
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.933333e-06,90.66058642,91.14178096
1.12e-05,0.0003889991,2.933333e-06,91.77841235,92.24638415
1.12e-05,0.0003889991,2.933333e-06,92.83093026,93.28099531
1.12e-05,0.0003889991,2.933333e-06,93.94818679,94.38821472
1.12e-05,0.0003889991,2.933333e-06,95.10544566,95.53947517
1.12e-05,0.0003889991,2.933333e-06,96.12858503,96.55909434
1.12e-05,0.0003889991,2.933333e-06,97.05017225,97.47824949
1.12e-05,0.0003889991,2.933333e-06,97.67441612,98.08253937
1.12e-05,0.0003889991,2.933333e-06,97.80314963,98.19449857
1.12e-05,0.0003889991,2.933333e-06,97.70021789,98.07433185
1.12e-05,0.0003889991,2.933333e-06,97.38108953,97.71907476
