a,b,c,d,ugf
1.12e-05,0.000132012,5.6e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.6e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.6e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.6e-06,63180016.47,67822435.48
1.12e-05,0.000132012,5.6e-06,77734958.61,82234142.36
1.12e-05,0.000132012,5.6e-06,90089481.13,96723384.23
1.12e-05,0.000132012,5.6e-06,100700319.3,106833273.3
1.12e-05,0.000132012,5.6e-06,108442331.4,114251712.6
1.12e-05,0.000132012,5.6e-06,114307733.2,119863907.6
1.12e-05,0.000132012,5.6e-06,118828177.6,124136241.7
1.12e-05,0.000132012,5.6e-06,122355306.4,128565177.0
1.12e-05,0.000132012,5.6e-06,125132633.1,133214684.8
1.12e-05,0.000132012,5.6e-06,128594753.1,137076323.5
1.12e-05,0.000132012,5.6e-06,132005173.9,140296068.8
1.12e-05,0.000132012,5.6e-06,134840406.5,142977620.5
1.12e-05,0.000132012,5.6e-06,137186400.7,145201871.9
1.12e-05,0.000132012,5.066667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.066667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.066667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.066667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.066667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.066667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.066667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.066667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.066667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.066667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.066667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.066667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.066667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.066667e-06,66790518.64,64482198.18
1.12e-05,0.000132012,5.066667e-06,81236225.62,78999460.48
1.12e-05,0.000132012,5.066667e-06,95268587.11,91973606.62
1.12e-05,0.000132012,5.066667e-06,105485812.5,102439264.0
1.12e-05,0.000132012,5.066667e-06,112972525.9,110086243.0
1.12e-05,0.000132012,5.066667e-06,118637703.2,115876751.3
1.12e-05,0.000132012,5.066667e-06,122961979.6,120323844.7
1.12e-05,0.000132012,5.066667e-06,126600864.7,123778646.5
1.12e-05,0.000132012,5.066667e-06,131310357.5,126983086.0
1.12e-05,0.000132012,5.066667e-06,135222031.6,131010257.5
1.12e-05,0.000132012,5.066667e-06,138482853.5,134365646.9
