a,b,c,d,gain
1.12e-05,0.000132012,5.6e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.6e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.6e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.6e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.6e-06,36.70432495,36.55454257
1.12e-05,0.000132012,5.6e-06,41.94359765,42.02389636
1.12e-05,0.000132012,5.6e-06,46.91292972,47.01977767
1.12e-05,0.000132012,5.6e-06,50.23117151,50.23119715
1.12e-05,0.000132012,5.6e-06,52.32880733,52.22504161
1.12e-05,0.000132012,5.6e-06,53.6342512,53.45703893
1.12e-05,0.000132012,5.6e-06,54.43462645,54.21554157
1.12e-05,0.000132012,5.6e-06,54.92729103,54.6880686
1.12e-05,0.000132012,5.6e-06,55.23097945,54.98492648
1.12e-05,0.000132012,5.6e-06,55.41340831,55.16856884
1.12e-05,0.000132012,5.6e-06,55.5127831,55.2742924
1.12e-05,0.000132012,5.6e-06,55.55068482,55.32218927
1.12e-05,0.000132012,5.6e-06,55.5391147,55.32360048
1.12e-05,0.000132012,5.066667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.066667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.066667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.066667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.066667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.066667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.066667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.066667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.066667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.066667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.066667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.066667e-06,8.53e-05,8.53e-05
