a,b,c,d,ugf
1.12e-05,0.000132012,4.533333e-06,5.97e-05,6341604.229
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6718747.245
1.12e-05,0.000132012,4.533333e-06,6.83e-05,7192147.349
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7806238.635
1.12e-05,0.000132012,4.533333e-06,7.68e-05,8355028.681
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8848078.942
1.12e-05,0.000132012,4.533333e-06,8.53e-05,9294066.82
1.12e-05,0.000132012,4.533333e-06,8.96e-05,9699854.376
1.12e-05,0.000132012,4e-06,3.84e-05,56492009.13
1.12e-05,0.000132012,4e-06,4.27e-05,71216470.57
1.12e-05,0.000132012,4e-06,4.69e-05,81311069.27
1.12e-05,0.000132012,4e-06,5.12e-05,91533998.21
1.12e-05,0.000132012,4e-06,5.55e-05,99816653.11
1.12e-05,0.000132012,4e-06,5.97e-05,106114688.7
1.12e-05,0.000132012,4e-06,6.4e-05,111058073.0
1.12e-05,0.000132012,4e-06,6.83e-05,114996468.6
1.12e-05,0.000132012,4e-06,7.25e-05,118136574.1
1.12e-05,0.000132012,4e-06,7.68e-05,120636003.6
1.12e-05,0.000132012,4e-06,8.11e-05,122627617.3
1.12e-05,0.000132012,4e-06,8.53e-05,124217536.1
1.12e-05,0.000132012,4e-06,8.96e-05,125486428.9
1.12e-05,0.000132012,4e-06,3.84e-05,58447199.08
1.12e-05,0.000132012,4e-06,4.27e-05,73125356.44
1.12e-05,0.000132012,4e-06,4.69e-05,83120794.83
1.12e-05,0.000132012,4e-06,5.12e-05,94254258.76
1.12e-05,0.000132012,4e-06,5.55e-05,102369802.1
1.12e-05,0.000132012,4e-06,5.97e-05,108533056.5
1.12e-05,0.000132012,4e-06,6.4e-05,113344844.6
1.12e-05,0.000132012,4e-06,6.83e-05,117156225.7
1.12e-05,0.000132012,4e-06,7.25e-05,120185223.0
1.12e-05,0.000132012,4e-06,7.68e-05,122593839.5
1.12e-05,0.000132012,4e-06,8.11e-05,124513336.6
1.12e-05,0.000132012,4e-06,8.53e-05,126198969.8
1.12e-05,0.000132012,4e-06,8.96e-05,128677520.7
1.12e-05,0.000132012,5.6e-06,3.84e-05,61756508.26
1.12e-05,0.000132012,5.6e-06,4.27e-05,76350592.16
1.12e-05,0.000132012,5.6e-06,4.69e-05,88008654.88
1.12e-05,0.000132012,5.6e-06,5.12e-05,98782299.52
1.12e-05,0.000132012,5.6e-06,5.55e-05,106632024.5
1.12e-05,0.000132012,5.6e-06,5.97e-05,112582777.8
1.12e-05,0.000132012,5.6e-06,6.4e-05,117186773.9
1.12e-05,0.000132012,5.6e-06,6.83e-05,120795890.9
1.12e-05,0.000132012,5.6e-06,7.25e-05,123646283.6
1.12e-05,0.000132012,5.6e-06,7.68e-05,125921327.5
1.12e-05,0.000132012,5.6e-06,8.11e-05,129393331.8
1.12e-05,0.000132012,5.6e-06,8.53e-05,132277972.0
1.12e-05,0.000132012,5.6e-06,8.96e-05,134662909.9
1.12e-05,0.000132012,5.6e-06,3.84e-05,63180016.47
1.12e-05,0.000132012,5.6e-06,4.27e-05,77734958.61
1.12e-05,0.000132012,5.6e-06,4.69e-05,90089481.13
1.12e-05,0.000132012,5.6e-06,5.12e-05,100700319.3
1.12e-05,0.000132012,5.6e-06,5.55e-05,108442331.4
1.12e-05,0.000132012,5.6e-06,5.97e-05,114307733.2
1.12e-05,0.000132012,5.6e-06,6.4e-05,118828177.6
1.12e-05,0.000132012,5.6e-06,6.83e-05,122355306.4
1.12e-05,0.000132012,5.6e-06,7.25e-05,125132633.1
1.12e-05,0.000132012,5.6e-06,7.68e-05,128594753.1
1.12e-05,0.000132012,5.6e-06,8.11e-05,132005173.9
1.12e-05,0.000132012,5.6e-06,8.53e-05,134840406.5
1.12e-05,0.000132012,5.6e-06,8.96e-05,137186400.7
1.12e-05,0.000132012,5.066667e-06,3.84e-05,65680947.71
1.12e-05,0.000132012,5.066667e-06,4.27e-05,80161826.94
1.12e-05,0.000132012,5.066667e-06,4.69e-05,93691850.76
1.12e-05,0.000132012,5.066667e-06,5.12e-05,104027061.3
1.12e-05,0.000132012,5.066667e-06,5.55e-05,111589506.7
1.12e-05,0.000132012,5.066667e-06,5.97e-05,117313747.7
1.12e-05,0.000132012,5.066667e-06,6.4e-05,121695912.9
1.12e-05,0.000132012,5.066667e-06,6.83e-05,125086397.9
1.12e-05,0.000132012,5.066667e-06,7.25e-05,129242049.4
1.12e-05,0.000132012,5.066667e-06,7.68e-05,133208616.1
1.12e-05,0.000132012,5.066667e-06,8.11e-05,136514425.6
1.12e-05,0.000132012,5.066667e-06,8.53e-05,139265483.6
1.12e-05,0.000132012,5.066667e-06,8.96e-05,141544918.7
1.12e-05,0.000132012,5.066667e-06,3.84e-05,66790518.64
1.12e-05,0.000132012,5.066667e-06,4.27e-05,81236225.62
1.12e-05,0.000132012,5.066667e-06,4.69e-05,95268587.11
1.12e-05,0.000132012,5.066667e-06,5.12e-05,105485812.5
1.12e-05,0.000132012,5.066667e-06,5.55e-05,112972525.9
1.12e-05,0.000132012,5.066667e-06,5.97e-05,118637703.2
1.12e-05,0.000132012,5.066667e-06,6.4e-05,122961979.6
1.12e-05,0.000132012,5.066667e-06,6.83e-05,126600864.7
1.12e-05,0.000132012,5.066667e-06,7.25e-05,131310357.5
1.12e-05,0.000132012,5.066667e-06,7.68e-05,135222031.6
1.12e-05,0.000132012,5.066667e-06,8.11e-05,138482853.5
1.12e-05,0.000132012,5.066667e-06,8.53e-05,141197609.3
1.12e-05,0.000132012,5.066667e-06,8.96e-05,143448249.5
1.12e-05,0.000132012,5.333333e-06,3.84e-05,70567181.12
1.12e-05,0.000132012,5.333333e-06,4.27e-05,85865928.26
1.12e-05,0.000132012,5.333333e-06,4.69e-05,100501894.0
1.12e-05,0.000132012,5.333333e-06,5.12e-05,110340276.2
1.12e-05,0.000132012,5.333333e-06,5.55e-05,117588822.6
1.12e-05,0.000132012,5.333333e-06,5.97e-05,123070396.7
1.12e-05,0.000132012,5.333333e-06,6.4e-05,128138297.7
1.12e-05,0.000132012,5.333333e-06,6.83e-05,133644599.2
1.12e-05,0.000132012,5.333333e-06,7.25e-05,138141996.9
1.12e-05,0.000132012,5.333333e-06,7.68e-05,141876418.0
1.12e-05,0.000132012,5.333333e-06,8.11e-05,144991408.9
1.12e-05,0.000132012,5.333333e-06,8.53e-05,147588014.3
1.12e-05,0.000132012,5.333333e-06,8.96e-05,149744515.3
1.12e-05,0.000132012,5.333333e-06,3.84e-05,68786140.07
1.12e-05,0.000132012,5.333333e-06,4.27e-05,83165007.81
1.12e-05,0.000132012,5.333333e-06,4.69e-05,98072163.2
1.12e-05,0.000132012,5.333333e-06,5.12e-05,108083898.6
1.12e-05,0.000132012,5.333333e-06,5.55e-05,115440443.2
1.12e-05,0.000132012,5.333333e-06,5.97e-05,121004839.8
1.12e-05,0.000132012,5.333333e-06,6.4e-05,125230302.8
1.12e-05,0.000132012,5.333333e-06,6.83e-05,130382096.4
1.12e-05,0.000132012,5.333333e-06,7.25e-05,134976697.4
1.12e-05,0.000132012,5.333333e-06,7.68e-05,138792471.2
1.12e-05,0.000132012,5.333333e-06,8.11e-05,141974503.4
1.12e-05,0.000132012,5.333333e-06,8.53e-05,144625518.7
1.12e-05,0.000132012,5.333333e-06,8.96e-05,146825456.2
1.12e-05,0.0003889991,2.4e-06,3.84e-05,12772633.85
1.12e-05,0.0003889991,2.4e-06,4.27e-05,14177921.93
1.12e-05,0.0003889991,2.4e-06,4.69e-05,15365117.06
1.12e-05,0.0003889991,2.4e-06,5.12e-05,17073835.97
1.12e-05,0.0003889991,2.4e-06,5.55e-05,19125964.38
1.12e-05,0.0003889991,2.4e-06,5.97e-05,20958161.59
1.12e-05,0.0003889991,2.4e-06,6.4e-05,22609191.51
1.12e-05,0.0003889991,2.4e-06,6.83e-05,24259570.32
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27405154.66
1.12e-05,0.0003889991,2.4e-06,7.68e-05,30301540.71
1.12e-05,0.0003889991,2.4e-06,8.11e-05,32981546.8
1.12e-05,0.0003889991,2.4e-06,8.53e-05,35470697.49
1.12e-05,0.0003889991,2.4e-06,8.96e-05,39265211.05
1.12e-05,0.0003889991,2.4e-06,3.84e-05,12693999.13
1.12e-05,0.0003889991,2.4e-06,4.27e-05,14128898.52
1.12e-05,0.0003889991,2.4e-06,4.69e-05,15339302.99
1.12e-05,0.0003889991,2.4e-06,5.12e-05,17060479.84
1.12e-05,0.0003889991,2.4e-06,5.55e-05,19152808.51
1.12e-05,0.0003889991,2.4e-06,5.97e-05,21019658.26
1.12e-05,0.0003889991,2.4e-06,6.4e-05,22701145.03
1.12e-05,0.0003889991,2.4e-06,6.83e-05,24533556.38
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27742634.69
1.12e-05,0.0003889991,2.4e-06,7.68e-05,30696416.82
1.12e-05,0.0003889991,2.4e-06,8.11e-05,33428561.85
1.12e-05,0.0003889991,2.4e-06,8.53e-05,35964329.98
1.12e-05,0.0003889991,2.4e-06,8.96e-05,40333306.42
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,12549120.34
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,14032795.16
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,15283903.71
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,17014059.72
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,19177120.29
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,21104988.44
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,22840145.04
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,24966598.63
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,28288206.63
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,31343500.62
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,34167687.41
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,37269944.88
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,42120590.24
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,12480591.14
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,13986579.76
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,15255640.01
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,16985305.93
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,19179813.48
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,21134842.62
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,22893881.98
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,25141776.08
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,28513670.21
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,31614217.21
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,34479415.66
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,37972059.98
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,42905042.31
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,12181838.72
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,13778262.85
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,15123163.42
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,16825304.87
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,19147354.02
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,21217457.64
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,23074839.68
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25776293.47
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,29355399.9
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,32641674.84
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,35693378.31
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,40740297.69
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,45928807.72
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,12293129.06
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,13857031.14
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,15171867.33
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,16887813.45
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,19163560.66
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,21193896.47
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,23015527.23
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25559534.56
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,29063403.55
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,32282391.57
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,35254980.43
