a,b,c,d,ugf
1.12e-05,0.0003889991,4.8e-06,5.97e-05,6311430.719
1.12e-05,0.0003889991,4.8e-06,6.4e-05,6686548.275
1.12e-05,0.0003889991,4.8e-06,6.83e-05,7120476.925
1.12e-05,0.0003889991,4.8e-06,7.25e-05,7734375.306
1.12e-05,0.0003889991,4.8e-06,7.68e-05,8281517.909
1.12e-05,0.0003889991,4.8e-06,8.11e-05,8773101.147
1.12e-05,0.0003889991,4.8e-06,8.53e-05,9217793.184
1.12e-05,0.0003889991,4.8e-06,8.96e-05,9622438.637
1.12e-05,0.0003889991,4.266667e-06,3.84e-05,3934989.566
1.12e-05,0.0003889991,4.266667e-06,4.27e-05,4392897.753
1.12e-05,0.0003889991,4.266667e-06,4.69e-05,4939328.513
1.12e-05,0.0003889991,4.266667e-06,5.12e-05,5527029.939
1.12e-05,0.0003889991,4.266667e-06,5.55e-05,6017788.683
1.12e-05,0.0003889991,4.266667e-06,5.97e-05,6435199.348
1.12e-05,0.0003889991,4.266667e-06,6.4e-05,6795289.189
1.12e-05,0.0003889991,4.266667e-06,6.83e-05,7325816.195
1.12e-05,0.0003889991,4.266667e-06,7.25e-05,7917580.996
1.12e-05,0.0003889991,4.266667e-06,7.68e-05,8445292.708
1.12e-05,0.0003889991,4.266667e-06,8.11e-05,8919682.294
1.12e-05,0.0003889991,4.266667e-06,8.53e-05,9349052.554
1.12e-05,0.0003889991,4.266667e-06,8.96e-05,9739959.1
1.12e-05,0.0003889991,4.533333e-06,3.84e-05,3716295.585
1.12e-05,0.0003889991,4.533333e-06,4.27e-05,4212369.734
1.12e-05,0.0003889991,4.533333e-06,4.69e-05,4640979.974
1.12e-05,0.0003889991,4.533333e-06,5.12e-05,5269341.445
1.12e-05,0.0003889991,4.533333e-06,5.55e-05,5793546.102
1.12e-05,0.0003889991,4.533333e-06,5.97e-05,6238949.394
1.12e-05,0.0003889991,4.533333e-06,6.4e-05,6622768.574
1.12e-05,0.0003889991,4.533333e-06,6.83e-05,7001626.299
1.12e-05,0.0003889991,4.533333e-06,7.25e-05,7626900.298
1.12e-05,0.0003889991,4.533333e-06,7.68e-05,8185316.931
1.12e-05,0.0003889991,4.533333e-06,8.11e-05,8686871.296
1.12e-05,0.0003889991,4.533333e-06,8.53e-05,9140447.841
1.12e-05,0.0003889991,4.533333e-06,8.96e-05,9553060.16
1.12e-05,0.0003889991,4e-06,3.84e-05,56496351.16
1.12e-05,0.0003889991,4e-06,4.27e-05,71461491.48
1.12e-05,0.0003889991,4e-06,4.69e-05,81642140.11
1.12e-05,0.0003889991,4e-06,5.12e-05,92074540.69
1.12e-05,0.0003889991,4e-06,5.55e-05,100355096.8
1.12e-05,0.0003889991,4e-06,5.97e-05,106662048.5
1.12e-05,0.0003889991,4e-06,6.4e-05,111615955.2
1.12e-05,0.0003889991,4e-06,6.83e-05,115563498.0
1.12e-05,0.0003889991,4e-06,7.25e-05,118713318.8
1.12e-05,0.0003889991,4e-06,7.68e-05,121223672.3
1.12e-05,0.0003889991,4e-06,8.11e-05,123227008.1
