a,b,c,d,gain
1.12e-05,0.0003889991,4.266667e-06,6.83e-05,13.62441863
1.12e-05,0.0003889991,4.266667e-06,7.25e-05,14.27134136
1.12e-05,0.0003889991,4.266667e-06,7.68e-05,14.88630128
1.12e-05,0.0003889991,4.266667e-06,8.11e-05,15.47315704
1.12e-05,0.0003889991,4.266667e-06,8.53e-05,16.03515557
1.12e-05,0.0003889991,4.266667e-06,8.96e-05,16.57505755
1.12e-05,0.0003889991,4.533333e-06,3.84e-05,6.985032366
1.12e-05,0.0003889991,4.533333e-06,4.27e-05,8.074922573
1.12e-05,0.0003889991,4.533333e-06,4.69e-05,9.061456645
1.12e-05,0.0003889991,4.533333e-06,5.12e-05,9.964334199
1.12e-05,0.0003889991,4.533333e-06,5.55e-05,10.79821753
1.12e-05,0.0003889991,4.533333e-06,5.97e-05,11.57437399
1.12e-05,0.0003889991,4.533333e-06,6.4e-05,12.30136913
1.12e-05,0.0003889991,4.533333e-06,6.83e-05,12.98655167
1.12e-05,0.0003889991,4.533333e-06,7.25e-05,13.63407498
1.12e-05,0.0003889991,4.533333e-06,7.68e-05,14.25115463
1.12e-05,0.0003889991,4.533333e-06,8.11e-05,14.84018592
1.12e-05,0.0003889991,4.533333e-06,8.53e-05,15.40443253
1.12e-05,0.0003889991,4.533333e-06,8.96e-05,15.94666735
1.12e-05,0.0003889991,4e-06,3.84e-05,36.75615087
1.12e-05,0.0003889991,4e-06,4.27e-05,41.75066422
1.12e-05,0.0003889991,4e-06,4.69e-05,46.67521522
1.12e-05,0.0003889991,4e-06,5.12e-05,50.10575915
1.12e-05,0.0003889991,4e-06,5.55e-05,52.31794803
1.12e-05,0.0003889991,4e-06,5.97e-05,53.70958217
1.12e-05,0.0003889991,4e-06,6.4e-05,54.56110142
1.12e-05,0.0003889991,4e-06,6.83e-05,55.08006875
1.12e-05,0.0003889991,4e-06,7.25e-05,55.39459526
1.12e-05,0.0003889991,4e-06,7.68e-05,55.57850711
1.12e-05,0.0003889991,4e-06,8.11e-05,55.67346443
1.12e-05,0.0003889991,4e-06,8.53e-05,55.70285775
1.12e-05,0.0003889991,4e-06,8.96e-05,55.6795322
1.12e-05,0.0003889991,5.6e-06,3.84e-05,36.57821694
1.12e-05,0.0003889991,5.6e-06,4.27e-05,41.79606355
1.12e-05,0.0003889991,5.6e-06,4.69e-05,46.77843613
1.12e-05,0.0003889991,5.6e-06,5.12e-05,50.11800441
1.12e-05,0.0003889991,5.6e-06,5.55e-05,52.23037381
1.12e-05,0.0003889991,5.6e-06,5.97e-05,53.54703706
1.12e-05,0.0003889991,5.6e-06,6.4e-05,54.3547998
1.12e-05,0.0003889991,5.6e-06,6.83e-05,54.85232854
1.12e-05,0.0003889991,5.6e-06,7.25e-05,55.15931712
1.12e-05,0.0003889991,5.6e-06,7.68e-05,55.34413303
1.12e-05,0.0003889991,5.6e-06,8.11e-05,55.44538566
1.12e-05,0.0003889991,5.6e-06,8.53e-05,55.48490706
1.12e-05,0.0003889991,5.6e-06,8.96e-05,55.47486355
1.12e-05,0.0003889991,5.066667e-06,3.84e-05,36.45905456
1.12e-05,0.0003889991,5.066667e-06,4.27e-05,41.85246828
1.12e-05,0.0003889991,5.066667e-06,4.69e-05,46.86051955
