a,b,c,d,gain
1.12e-05,0.000132012,4.533333e-06,8.53e-05,15.50008522
1.12e-05,0.000132012,4.533333e-06,8.96e-05,16.04259404
1.12e-05,0.000132012,4e-06,3.84e-05,36.95718119
1.12e-05,0.000132012,4e-06,4.27e-05,41.88159277
1.12e-05,0.000132012,4e-06,4.69e-05,46.76768509
1.12e-05,0.000132012,4e-06,5.12e-05,50.21111189
1.12e-05,0.000132012,4e-06,5.55e-05,52.44831695
1.12e-05,0.000132012,4e-06,5.97e-05,53.85881959
1.12e-05,0.000132012,4e-06,6.4e-05,54.72067001
1.12e-05,0.000132012,4e-06,6.83e-05,55.24344394
1.12e-05,0.000132012,4e-06,7.25e-05,55.55768094
1.12e-05,0.000132012,4e-06,7.68e-05,55.7387704
1.12e-05,0.000132012,4e-06,8.11e-05,55.8292023
1.12e-05,0.000132012,4e-06,8.53e-05,55.85273851
1.12e-05,0.000132012,4e-06,8.96e-05,55.82231917
1.12e-05,0.000132012,4e-06,3.84e-05,36.87881435
1.12e-05,0.000132012,4e-06,4.27e-05,41.8930602
1.12e-05,0.000132012,4e-06,4.69e-05,46.808501
1.12e-05,0.000132012,4e-06,5.12e-05,50.2190822
1.12e-05,0.000132012,4e-06,5.55e-05,52.41700525
1.12e-05,0.000132012,4e-06,5.97e-05,53.79708638
1.12e-05,0.000132012,4e-06,6.4e-05,54.64092815
1.12e-05,0.000132012,4e-06,6.83e-05,55.15480711
1.12e-05,0.000132012,4e-06,7.25e-05,55.46588177
1.12e-05,0.000132012,4e-06,7.68e-05,55.64730239
1.12e-05,0.000132012,4e-06,8.11e-05,55.74030208
1.12e-05,0.000132012,4e-06,8.53e-05,55.76800394
1.12e-05,0.000132012,4e-06,8.96e-05,55.74307626
1.12e-05,0.000132012,5.6e-06,3.84e-05,36.75444746
1.12e-05,0.000132012,5.6e-06,4.27e-05,41.92498614
1.12e-05,0.000132012,5.6e-06,4.69e-05,46.88083387
1.12e-05,0.000132012,5.6e-06,5.12e-05,50.22870393
1.12e-05,0.000132012,5.6e-06,5.55e-05,52.35719731
1.12e-05,0.000132012,5.6e-06,5.97e-05,53.68518334
