PMOS_W,NMOS_W,Gain
1.5e-05,8.5e-06,16.88
1.55e-05,8.5e-06,17.19
1.6e-05,8.5e-06,17.46
1.65e-05,8.5e-06,17.7
1.7e-05,8.5e-06,17.92
1.75e-05,8.5e-06,18.13
1.8e-05,8.5e-06,18.33
1.85e-05,8.5e-06,18.51
1.9e-05,8.5e-06,18.68
1.95e-05,8.5e-06,18.84
2e-05,8.5e-06,18.99
3.5e-06,9e-06,-12.59
4e-06,9e-06,-11.07
4.5e-06,9e-06,-9.676
3e-06,9e-06,-14.25
5e-06,9e-06,-8.358
2.5e-06,9e-06,-16.13
5.5e-06,9e-06,-7.102
6e-06,9e-06,-5.87
2e-06,9e-06,-18.33
6.5e-06,9e-06,-4.661
7e-06,9e-06,-3.457
7.5e-06,9e-06,-2.242
1.5e-06,9e-06,-21.1
8e-06,9e-06,-0.999
8.5e-06,9e-06,0.288
9e-06,9e-06,1.639
9.5e-06,9e-06,3.077
1.05e-05,9e-06,3.876
1e-05,9e-06,4.626
1.1e-05,9e-06,5.368
1.15e-05,9e-06,6.964
1.2e-05,9e-06,8.695
1.25e-05,9e-06,10.48
1e-06,9e-06,-24.85
1.3e-05,9e-06,12.2
1.35e-05,9e-06,13.68
1.4e-05,9e-06,14.82
1.45e-05,9e-06,15.64
1.5e-05,9e-06,16.21
1.55e-05,9e-06,16.63
1.6e-05,9e-06,16.97
1.65e-05,9e-06,17.25
1.7e-05,9e-06,17.5
1.75e-05,9e-06,17.73
1.8e-05,9e-06,17.94
1.85e-05,9e-06,18.13
1.9e-05,9e-06,18.32
1.95e-05,9e-06,18.49
2e-05,9e-06,18.65
3.5e-06,9.5e-06,-13.17
4e-06,9.5e-06,-11.68
4.5e-06,9.5e-06,-10.31
3e-06,9.5e-06,-14.8
5e-06,9.5e-06,-9.027
2.5e-06,9.5e-06,-16.66
5.5e-06,9.5e-06,-7.812
6e-06,9.5e-06,-6.625
2e-06,9.5e-06,-18.85
6.5e-06,9.5e-06,-5.465
7e-06,9.5e-06,-4.321
7.5e-06,9.5e-06,-3.177
1.5e-06,9.5e-06,-21.59
8e-06,9.5e-06,-2.02
8.5e-06,9.5e-06,-0.835
9e-06,9.5e-06,0.392
9.5e-06,9.5e-06,1.678
1.05e-05,9.5e-06,2.385
1e-05,9.5e-06,3.043
1.1e-05,9.5e-06,3.691
1.15e-05,9.5e-06,5.09
1.2e-05,9.5e-06,6.584
1.25e-05,9.5e-06,8.197
1e-06,9.5e-06,-25.33
1.3e-05,9.5e-06,9.885
1.35e-05,9.5e-06,11.56
1.4e-05,9.5e-06,13.07
1.45e-05,9.5e-06,14.31
1.5e-05,9.5e-06,15.24
1.55e-05,9.5e-06,15.89
1.6e-05,9.5e-06,16.38
1.65e-05,9.5e-06,16.75
1.7e-05,9.5e-06,17.05
1.75e-05,9.5e-06,17.31
1.8e-05,9.5e-06,17.54
1.85e-05,9.5e-06,17.75
1.9e-05,9.5e-06,17.95
1.95e-05,9.5e-06,18.13
2e-05,9.5e-06,18.31
3.5e-06,1e-05,-13.71
4e-06,1e-05,-12.25
4.5e-06,1e-05,-10.9
3e-06,1e-05,-15.32
5e-06,1e-05,-9.646
2.5e-06,1e-05,-17.16
5.5e-06,1e-05,-8.454
6e-06,1e-05,-7.316
2e-06,1e-05,-19.33
6.5e-06,1e-05,-6.198
7e-06,1e-05,-5.101
7.5e-06,1e-05,-4.014
1.5e-06,1e-05,-22.06
8e-06,1e-05,-2.924
8.5e-06,1e-05,-1.818
9e-06,1e-05,-0.686
9.5e-06,1e-05,0.486
1.05e-05,1e-05,1.124
1e-05,1e-05,1.713
1.1e-05,1e-05,2.29
1.15e-05,1e-05,3.526
1.2e-05,1e-05,4.843
1.25e-05,1e-05,6.256
1e-06,1e-05,-25.79
1.3e-05,1e-05,7.753
1.35e-05,1e-05,9.347
1.4e-05,1e-05,10.96
1.45e-05,1e-05,12.47
1.5e-05,1e-05,13.78
1.55e-05,1e-05,14.8
1.6e-05,1e-05,15.56
1.65e-05,1e-05,16.1
1.7e-05,1e-05,16.51
1.75e-05,1e-05,16.84
1.8e-05,1e-05,17.12
1.85e-05,1e-05,17.36
1.9e-05,1e-05,17.57
1.95e-05,1e-05,17.77
2e-05,1e-05,17.96
3.5e-06,1.05e-05,-16.68
4e-06,1.05e-05,-15.32
4.5e-06,1.05e-05,-14.08
3e-06,1.05e-05,-18.21
5e-06,1.05e-05,-12.95
2.5e-06,1.05e-05,-19.96
5.5e-06,1.05e-05,-11.87
6e-06,1.05e-05,-10.87
2e-06,1.05e-05,-22.06
6.5e-06,1.05e-05,-9.916
7e-06,1.05e-05,-9.001
7.5e-06,1.05e-05,-8.115
1.5e-06,1.05e-05,-24.72
8e-06,1.05e-05,-7.254
8.5e-06,1.05e-05,-6.41
9e-06,1.05e-05,-5.578
9.5e-06,1.05e-05,-4.765
1.05e-05,1.05e-05,-4.33
1e-05,1.05e-05,-3.938
1.1e-05,1.05e-05,-3.564
1.15e-05,1.05e-05,-2.796
1.2e-05,1.05e-05,-2.021
1.25e-05,1.05e-05,-1.235
1e-06,1.05e-05,-28.39
1.3e-05,1.05e-05,-0.434
1.35e-05,1.05e-05,0.388
1.4e-05,1.05e-05,1.235
1.45e-05,1.05e-05,2.113
1.5e-05,1.05e-05,3.028
1.55e-05,1.05e-05,3.985
1.6e-05,1.05e-05,4.991
1.65e-05,1.05e-05,6.048
1.7e-05,1.05e-05,7.157
1.75e-05,1.05e-05,8.312
1.8e-05,1.05e-05,9.496
1.85e-05,1.05e-05,10.68
1.9e-05,1.05e-05,11.81
1.95e-05,1.05e-05,12.85
2e-05,1.05e-05,13.74
3.5e-06,1.1e-05,-17.13
4e-06,1.1e-05,-15.78
4.5e-06,1.1e-05,-14.56
3e-06,1.1e-05,-18.65
5e-06,1.1e-05,-13.43
2.5e-06,1.1e-05,-20.39
