W,X,Y,UGF
4.98E-05,3.82E-06,8.36E-06,144185207.6
4.98E-05,3.82E-06,9.07E-06,145353483.2
4.98E-05,3.82E-06,9.78E-06,146367293.3
4.98E-05,4.18E-06,1.12E-05,151906986.8
4.98E-05,4.18E-06,1.05E-05,150990783.5
4.98E-05,4.18E-06,4.80E-06,135925728.7
4.98E-05,4.18E-06,5.51E-06,138894054
4.98E-05,4.18E-06,6.22E-06,141250781.2
4.98E-05,4.18E-06,6.93E-06,143172043.9
4.98E-05,4.18E-06,7.64E-06,144771080.1
4.98E-05,4.18E-06,8.36E-06,146124208.3
4.98E-05,4.18E-06,9.07E-06,147284860.6
4.98E-05,4.18E-06,9.78E-06,148291639.7
4.98E-05,4.53E-06,1.12E-05,153620014.5
4.98E-05,4.53E-06,1.05E-05,152710976.5
4.98E-05,4.53E-06,4.80E-06,137707168.2
4.98E-05,4.53E-06,5.51E-06,140663864.7
4.98E-05,4.53E-06,6.22E-06,143010566.7
4.98E-05,4.53E-06,6.93E-06,144923001
4.98E-05,4.53E-06,7.64E-06,146514132.8
4.98E-05,4.53E-06,8.36E-06,147860089.6
4.98E-05,4.53E-06,9.07E-06,149014165.6
4.98E-05,4.53E-06,9.78E-06,150014861.2
4.98E-05,4.89E-06,1.12E-05,155169558.6
4.98E-05,4.89E-06,1.05E-05,154266847.6
4.98E-05,4.89E-06,4.80E-06,139315215.5
4.98E-05,4.89E-06,5.51E-06,142261957.3
4.98E-05,4.89E-06,6.22E-06,144600035.2
4.98E-05,4.89E-06,6.93E-06,146504842.6
4.98E-05,4.89E-06,7.64E-06,148089119.5
4.98E-05,4.89E-06,8.36E-06,149428835.4
4.98E-05,4.89E-06,9.07E-06,150577170.3
4.98E-05,4.89E-06,9.78E-06,151572539.5
4.98E-05,5.60E-06,1.12E-05,157879014.6
4.98E-05,5.60E-06,1.05E-05,156987017.2
4.98E-05,5.60E-06,4.80E-06,142119404.2
4.98E-05,5.60E-06,5.51E-06,145050023.6
4.98E-05,5.60E-06,6.22E-06,147374031.9
4.98E-05,5.60E-06,6.93E-06,149266317.5
4.98E-05,5.60E-06,7.64E-06,150839277
4.98E-05,5.60E-06,8.36E-06,152168637.7
4.98E-05,5.60E-06,9.07E-06,153307403.4
4.98E-05,5.60E-06,9.78E-06,154293857.7
4.98E-05,5.24E-06,1.12E-05,156582293.6
4.98E-05,5.24E-06,1.05E-05,155685223.8
4.98E-05,5.24E-06,4.80E-06,140778531.3
4.98E-05,5.24E-06,5.51E-06,143716663.6
4.98E-05,5.24E-06,6.22E-06,146047245.8
4.98E-05,5.24E-06,6.93E-06,147945395.6
4.98E-05,5.24E-06,7.64E-06,149523665.8
4.98E-05,5.24E-06,8.36E-06,150857894.5
