W,X,Y,Phase Margin 
4.98E-05,4.18E-06,4.80E-06,64.71648854
4.98E-05,4.18E-06,5.51E-06,63.80942991
4.98E-05,4.18E-06,6.22E-06,63.01866158
4.98E-05,4.18E-06,6.93E-06,62.31591918
4.98E-05,4.18E-06,7.64E-06,61.68173653
4.98E-05,4.18E-06,8.36E-06,61.10222776
4.98E-05,4.18E-06,9.07E-06,60.5671959
4.98E-05,4.18E-06,9.78E-06,60.06896765
4.98E-05,4.53E-06,1.12E-05,58.36049207
4.98E-05,4.53E-06,1.05E-05,58.86264555
4.98E-05,4.53E-06,4.80E-06,64.74138198
4.98E-05,4.53E-06,5.51E-06,63.80631102
4.98E-05,4.53E-06,6.22E-06,62.99188345
4.98E-05,4.53E-06,6.93E-06,62.26877917
4.98E-05,4.53E-06,7.64E-06,61.61680054
4.98E-05,4.53E-06,8.36E-06,61.02153778
4.98E-05,4.53E-06,9.07E-06,60.4724081
4.98E-05,4.53E-06,9.78E-06,59.96144738
4.98E-05,4.89E-06,1.12E-05,58.20660447
4.98E-05,4.89E-06,1.05E-05,58.72015454
4.98E-05,4.89E-06,4.80E-06,64.75034429
4.98E-05,4.89E-06,5.51E-06,63.78903121
4.98E-05,4.89E-06,6.22E-06,62.95245175
4.98E-05,4.89E-06,6.93E-06,62.21029256
4.98E-05,4.89E-06,7.64E-06,61.54166802
4.98E-05,4.89E-06,8.36E-06,60.93167566
4.98E-05,4.89E-06,9.07E-06,60.36936998
4.98E-05,4.89E-06,9.78E-06,59.84651348
4.98E-05,5.60E-06,1.12E-05,57.89227652
4.98E-05,5.60E-06,1.05E-05,58.42647084
4.98E-05,5.60E-06,4.80E-06,64.73295589
4.98E-05,5.60E-06,5.51E-06,63.72369143
4.98E-05,5.60E-06,6.22E-06,62.84666907
4.98E-05,5.60E-06,6.93E-06,62.06974865
4.98E-05,5.60E-06,7.64E-06,61.37077952
4.98E-05,5.60E-06,8.36E-06,60.73395363
4.98E-05,5.60E-06,9.07E-06,60.14765909
4.98E-05,5.60E-06,9.78E-06,59.60315641
4.98E-05,5.24E-06,1.12E-05,58.05004135
4.98E-05,5.24E-06,1.05E-05,58.57424467
4.98E-05,5.24E-06,4.80E-06,64.74669271
4.98E-05,5.24E-06,5.51E-06,63.7607049
4.98E-05,5.24E-06,6.22E-06,62.90330849
4.98E-05,5.24E-06,6.93E-06,62.14325216
4.98E-05,5.24E-06,7.64E-06,61.45900066
4.98E-05,5.24E-06,8.36E-06,60.83518645
4.98E-05,5.24E-06,9.07E-06,60.26052172
4.98E-05,5.24E-06,9.78E-06,59.72651109
5.55E-05,2.40E-06,1.12E-05,56.80071519
5.55E-05,2.40E-06,1.05E-05,57.20287645
5.55E-05,2.40E-06,4.80E-06,61.6385441
5.55E-05,2.40E-06,5.51E-06,60.91531491
5.55E-05,2.40E-06,6.22E-06,60.28148366
5.55E-05,2.40E-06,6.93E-06,59.71525214
5.55E-05,2.40E-06,7.64E-06,59.2016398
5.55E-05,2.40E-06,8.36E-06,58.72997863
5.55E-05,2.40E-06,9.07E-06,58.2924452
5.55E-05,2.40E-06,9.78E-06,57.88315861
5.55E-05,2.76E-06,1.12E-05,56.6522803
5.55E-05,2.76E-06,1.05E-05,57.07508671
5.55E-05,2.76E-06,4.80E-06,61.7920059
5.55E-05,2.76E-06,5.51E-06,61.0240617
5.55E-05,2.76E-06,6.22E-06,60.35235209
5.55E-05,2.76E-06,6.93E-06,59.75343186
5.55E-05,2.76E-06,7.64E-06,59.2111789
5.55E-05,2.76E-06,8.36E-06,58.71410689
5.55E-05,2.76E-06,9.07E-06,58.25378919
5.55E-05,2.76E-06,9.78E-06,57.82388956
5.55E-05,3.11E-06,1.12E-05,56.48412478
