 P             N,0.000001,0.0000015,0.000002,0.0000025,0.000003,0.0000035,0.000004,0.0000045,0.000005,0.0000055,0.000006,0.0000065,0.000007,0.0000075,0.000008,0.0000085,0.000009,0.0000095,0.00001,0.0000105,0.000011,0.0000115,0.000012,0.0000125,0.000013,0.0000135,0.000014,0.0000145,0.000015,0.0000155,0.000016,0.0000165,0.000017,0.0000175,0.000018,0.0000185,0.000019,0.0000195,0.00002
1.15E-05,-6.14E-01,10.39,17.81,19.62,20.19,20.17,19.83,19.32,18.73,18.12,17.5,16.81,15.85,14.23,11.84,9.254,6.964,5.09,3.526,-2.796,-3.572,-4.281,-4.933,-5.52,-6.079,-6.602,-7.093,-7.557,-7.996,-8.413,-8.81,-9.189,-9.551,-9.898,-10.23,-10.55,-10.86,-11.16,-11.45
1.20E-05,-1.518,8.618,17.14,19.37,20.1,20.22,19.98,19.53,18.99,18.42,17.83,17.21,16.48,15.37,13.55,11.13,8.695,6.584,4.843,-2.021,-2.837,-3.579,-4.259,-4.886,-5.454,-5.994,-6.501,-6.979,-7.43,-7.858,-8.264,-8.652,-9.022,-9.376,-9.716,-10.04,-10.36,-10.66,-10.95
1.25E-05,-2.333,7.074,16.31,19.08,19.98,20.23,20.09,19.72,19.23,18.68,18.13,17.55,16.93,16.12,14.85,12.86,10.48,8.197,6.256,-1.235,-2.097,-2.875,-3.585,-4.238,-4.843,-5.392,-5.916,-6.408,-6.872,-7.311,-7.728,-8.125,-8.503,-8.865,-9.212,-9.545,-9.866,-10.17,-10.47
1.00E-06,-2.365,-7.581,-10.71,-12.99,-14.77,-16.24,-17.49,-18.58,-19.55,-20.42,-21.21,-21.94,-22.6,-23.22,-23.8,-24.34,-24.85,-25.33,-25.79,-28.39,-28.79,-29.17,-29.54,-29.89,-30.23,-30.56,-30.87,-31.18,-31.47,-31.76,-32.03,-32.3,-32.55,-32.81,-33.05,-33.29,-33.52,-33.74,-33.96
1.30E-05,-3.075,5.686,15.3,18.74,19.84,20.2,20.16,19.87,19.43,18.93,18.4,17.85,17.29,16.64,15.73,14.28,12.2,9.885,7.753,-4.34E-01,-1.347,-2.166,-2.91,-3.591,-4.22,-4.803,-5.335,-5.842,-6.32,-6.772,-7.2,-7.606,-7.994,-8.364,-8.718,-9.058,-9.385,-9.699,-10
1.35E-05,-3.755,4.449,14.11,18.37,19.66,20.15,20.21,19.99,19.61,19.15,18.64,18.13,17.6,17.03,16.33,15.3,13.68,11.56,9.347,3.88E-01,-5.84E-01,-1.449,-2.23,-2.942,-3.596,-4.202,-4.766,-5.281,-5.774,-6.238,-6.678,-7.095,-7.492,-7.871,-8.233,-8.58,-8.912,-9.233,-9.541
1.40E-05,-4.382,3.344,12.78,17.93,19.45,20.07,20.22,20.09,19.77,19.35,18.87,18.38,17.88,17.36,16.77,16,14.82,13.07,10.96,1.235,1.98E-01,-7.20E-01,-1.543,-2.289,-2.972,-3.601,-4.186,-4.732,-5.243,-5.709,-6.161,-6.59,-6.997,-7.384,-7.754,-8.109,-8.449,-8.775,-9.089
1.45E-05,-4.965,2.352,11.39,17.42,19.22,19.96,20.21,20.15,19.9,19.52,19.08,18.61,18.13,17.64,17.12,16.5,15.64,14.31,12.47,2.113,1.001,2.51E-02,-8.45E-01,-1.629,-2.343,-2.999,-3.606,-4.171,-4.699,-5.195,-5.649,-6.089,-6.507,-6.904,-7.283,-7.645,-7.992,-8.325,-8.645
1.50E-05,-5.508,1.458,10.01,16.82,18.97,19.83,20.18,20.2,20,19.68,19.27,18.82,18.36,17.89,17.41,16.88,16.21,15.24,13.78,3.028,1.832,7.90E-01,-1.33E-01,-9.59E-01,-1.708,-2.393,-3.024,-3.61,-4.156,-4.669,-5.151,-5.592,-6.021,-6.428,-6.816,-7.187,-7.541,-7.881,-8.207
1.55E-05,-6.017,6.46E-01,8.63,16.1,18.68,19.68,20.12,20.22,20.09,19.81,19.44,19.02,18.58,18.13,17.67,17.19,16.63,15.89,14.8,3.985,2.695,1.578,5.97E-01,-2.78E-01,-1.065,-1.782,-2.44,-3.048,-3.614,-4.143,-4.64,-5.109,-5.539,-5.957,-6.354,-6.733,-7.096,-7.443,-7.776
1.60E-05,-6.497,-9.57E-02,7.421,15.27,18.36,19.51,20.04,20.21,20.15,19.92,19.59,19.2,18.78,18.35,17.91,17.46,16.97,16.38,15.56,4.991,3.594,2.394,1.347,4.20E-01,-4.11E-01,-1.163,-1.85,-2.483,-3.07,-3.618,-4.131,-4.613,-5.069,-5.488,-5.896,-6.284,-6.655,-7.01,-7.35
1.65E-05,-6.95,-7.78E-01,6.307,14.31,17.99,19.32,19.94,20.19,20.19,20.01,19.72,19.37,18.97,18.55,18.13,17.7,17.25,16.75,16.1,6.048,4.536,3.243,2.121,1.135,2.57E-01,-5.34E-01,-1.254,-1.914,-2.524,-3.091,-3.621,-4.119,-4.588,-5.032,-5.453,-5.838,-6.218,-6.581,-6.928
1.70E-05,-7.379,-1.408,5.286,13.26,17.58,19.11,19.83,20.15,20.21,20.09,19.84,19.51,19.14,18.74,18.34,17.92,17.5,17.05,16.51,7.157,5.524,4.128,2.925,1.873,9.41E-01,1.07E-01,-6.49E-01,-1.339,-1.974,-2.562,-3.111,-3.624,-4.108,-4.564,-4.996,-5.407,-5.784,-6.155,-6.51
1.75E-05,-7.787,-1.994,4.351,12.14,17.11,18.88,19.7,20.09,20.21,20.14,19.94,19.65,19.3,18.92,18.53,18.13,17.73,17.31,16.84,8.312,6.559,5.054,3.76,2.635,1.645,7.63E-01,-3.23E-02,-7.55E-01,-1.418,-2.029,-2.598,-3.129,-3.627,-4.097,-4.541,-4.963,-5.363,-5.732,-6.095
1.80E-05,-8.175,-2.541,3.495,11.01,16.57,18.63,19.55,20.02,20.2,20.18,20.02,19.76,19.44,19.09,18.71,18.33,17.94,17.54,17.12,9.496,7.641,6.024,4.632,3.427,2.371,1.436,5.98E-01,-1.61E-01,-8.54E-01,-1.491,-2.082,-2.631,-3.146,-3.63,-4.087,-4.52,-4.931,-5.322,-5.683
