a,b,c,d,gain,pm,ugf
1.12e-05,0.000132012,2.666667e-06,7.25e-05,27.25660611,96.19394027,29.29512655
1.12e-05,0.000132012,2.666667e-06,7.68e-05,28.30407643,96.12415433,32.36243258
1.12e-05,0.000132012,2.666667e-06,8.11e-05,29.37498555,95.84085376,35.196461299999996
1.12e-05,0.000132012,2.666667e-06,8.53e-05,30.48239733,94.72915124,39.35444919
1.12e-05,0.000132012,2.666667e-06,8.96e-05,31.63618023,92.85888036,44.19046519
1.12e-05,0.000132012,2.933333e-06,3.84e-05,17.89325756,90.49933619,12.54634758
1.12e-05,0.000132012,2.933333e-06,4.27e-05,19.18265241,91.62569989,14.08832494
1.12e-05,0.000132012,2.933333e-06,4.69e-05,20.39080061,92.68448998,15.38628226
1.12e-05,0.000132012,2.933333e-06,5.12e-05,21.53854439,93.86828396,17.34361264
1.12e-05,0.000132012,2.933333e-06,5.55e-05,22.64205189,95.02784605,19.59296294
1.12e-05,0.000132012,2.933333e-06,5.97e-05,23.71521667,96.05723285,21.59635236
1.12e-05,0.000132012,2.933333e-06,6.4e-05,24.76744439,96.98710578,23.392657510000003
1.12e-05,0.000132012,2.933333e-06,6.83e-05,25.81745874,97.48730048,26.401544920000003
1.12e-05,0.000132012,2.933333e-06,7.25e-05,26.86823721,97.58315739,29.86790318
1.12e-05,0.000132012,2.933333e-06,7.68e-05,27.93320634,97.44473166,33.05209727
1.12e-05,0.000132012,2.933333e-06,8.11e-05,29.02482317,97.08820895,35.991486
1.12e-05,0.000132012,2.933333e-06,8.53e-05,30.1573431,95.43631928,41.15037531
1.12e-05,0.000132012,2.933333e-06,8.96e-05,31.3531192,93.25738442,46.177294780000004
1.12e-05,0.000132012,3.2e-06,3.84e-05,17.31184735,92.60427995,12.296574470000001
1.12e-05,0.000132012,3.2e-06,4.27e-05,18.60858186,93.670726,13.91415718
1.12e-05,0.000132012,3.2e-06,4.69e-05,19.82473032,94.68006222,15.27292978
1.12e-05,0.000132012,3.2e-06,5.12e-05,20.98191391,95.80086818,17.20379856
1.12e-05,0.000132012,3.2e-06,5.55e-05,22.0972222,96.93510349,19.56091638
1.12e-05,0.000132012,3.2e-06,5.97e-05,23.18335743,97.94974122,21.65680163
1.12e-05,0.000132012,3.2e-06,6.4e-05,24.2506797,98.8721372,23.533903329999998
1.12e-05,0.000132012,3.2e-06,6.83e-05,25.31831099,99.27470453,26.91812621
1.12e-05,0.000132012,3.2e-06,7.25e-05,26.38913,99.2985927,30.557874780000002
1.12e-05,0.000132012,3.2e-06,7.68e-05,27.47671858,99.08563362,33.8959644
1.12e-05,0.000132012,3.2e-06,8.11e-05,28.60364615,98.32932963,37.69089726
1.12e-05,0.000132012,3.2e-06,8.53e-05,29.77270419,96.20804618,43.4357757
1.12e-05,0.000132012,3.2e-06,8.96e-05,31.00534811,93.67336683,48.67498828
1.12e-05,0.000132012,3.466667e-06,3.84e-05,8.943596846,86.7949393,4.368852773
1.12e-05,0.000132012,3.466667e-06,4.27e-05,10.03212576,84.66260863,4.940406028
1.12e-05,0.000132012,3.466667e-06,4.69e-05,11.01661307,83.50160997,5.558629011
1.12e-05,0.000132012,3.466667e-06,5.12e-05,11.91692772,82.45931632,6.064619186
1.12e-05,0.000132012,3.466667e-06,5.55e-05,12.74778388,81.504382,6.488569114
1.12e-05,0.000132012,3.466667e-06,5.97e-05,13.52043927,80.61853392,6.850278016
1.12e-05,0.000132012,3.466667e-06,6.4e-05,14.24386492,80.37123022,7.444584749
1.12e-05,0.000132012,3.466667e-06,6.83e-05,14.92478148,80.2801537,8.033086017
1.12e-05,0.000132012,3.466667e-06,7.25e-05,15.56892609,80.1860831,8.554185325999999
1.12e-05,0.000132012,3.466667e-06,7.68e-05,16.18094633,80.08806335,9.020033597
1.12e-05,0.000132012,3.466667e-06,8.11e-05,16.76468323,79.98629115,9.439794423
1.12e-05,0.000132012,3.466667e-06,8.53e-05,17.32337948,79.8814777,9.820568601
1.12e-05,0.000132012,3.466667e-06,8.96e-05,17.85979103,79.77460345,10.167966009999999
1.12e-05,0.000132012,3.733333e-06,3.84e-05,8.24665238,91.65851295,4.173059894
1.12e-05,0.000132012,3.733333e-06,4.27e-05,9.335406268,88.66459339,4.6172926169999995
1.12e-05,0.000132012,3.733333e-06,4.69e-05,10.32068334,87.43103557,5.285130699
1.12e-05,0.000132012,3.733333e-06,5.12e-05,11.22183795,86.30960092,5.830655900999999
1.12e-05,0.000132012,3.733333e-06,5.55e-05,12.05300602,85.27530222,6.28656447
1.12e-05,0.000132012,3.733333e-06,5.97e-05,12.82753195,84.3010913,6.675539983
1.12e-05,0.000132012,3.733333e-06,6.4e-05,13.55225039,83.60751238,7.117081576
1.12e-05,0.000132012,3.733333e-06,6.83e-05,14.2345597,83.4716373,7.744350277
1.12e-05,0.000132012,3.733333e-06,7.25e-05,14.88020062,83.33351345,8.299070725
1.12e-05,0.000132012,3.733333e-06,7.68e-05,15.49390744,83.1920486,8.794420642
1.12e-05,0.000132012,3.733333e-06,8.11e-05,16.0794407,83.04775889,9.240221127
1.12e-05,0.000132012,3.733333e-06,8.53e-05,16.64004408,82.90133152,9.644140192
1.12e-05,0.000132012,3.733333e-06,8.96e-05,17.17847523,82.75368985,10.012236230000001
1.12e-05,0.000132012,4.8e-06,3.84e-05,7.311622943,97.9378595,3.878365755
1.12e-05,0.000132012,4.8e-06,4.27e-05,8.401371667,94.65753414,4.352105860999999
1.12e-05,0.000132012,4.8e-06,4.69e-05,9.387662885,92.40439008,4.880232487
1.12e-05,0.000132012,4.8e-06,5.12e-05,10.29028678,91.20370738,5.4821867410000005
1.12e-05,0.000132012,4.8e-06,5.55e-05,11.12379177,90.07899575,5.984750653
1.12e-05,0.000132012,4.8e-06,5.97e-05,11.89961114,89.01501353,6.412086585
1.12e-05,0.000132012,4.8e-06,6.4e-05,12.62636371,88.00376307,6.780652012
1.12e-05,0.000132012,4.8e-06,6.83e-05,13.31074201,87.49281667,7.308497877000001
1.12e-05,0.000132012,4.8e-06,7.25e-05,13.95819267,87.30777359,7.910634567
1.12e-05,0.000132012,4.8e-06,7.68e-05,14.57469089,87.11702878,8.448319693
1.12e-05,0.000132012,4.8e-06,8.11e-05,15.16313335,86.92395776,8.931552625
1.12e-05,0.000132012,4.8e-06,8.53e-05,15.72677266,86.72926195,9.368800611
1.12e-05,0.000132012,4.8e-06,8.96e-05,16.26837692,86.53382643,9.766756191999999
1.12e-05,0.000132012,4.266667e-06,3.84e-05,7.724579238,95.19864888,4.0131479389999996
1.12e-05,0.000132012,4.266667e-06,4.27e-05,8.813172662,91.99552014,4.462752375
1.12e-05,0.000132012,4.266667e-06,4.69e-05,9.79964269,90.24746783,5.064367708
1.12e-05,0.000132012,4.266667e-06,5.12e-05,10.70156282,89.07840991,5.640901883000001
1.12e-05,0.000132012,4.266667e-06,5.55e-05,11.53408295,87.99009246,6.122478074
1.12e-05,0.000132012,4.266667e-06,5.97e-05,12.30918753,86.96351097,6.532446778
1.12e-05,0.000132012,4.266667e-06,6.4e-05,13.03499586,85.99222166,6.88620627
1.12e-05,0.000132012,4.266667e-06,6.83e-05,13.71844305,85.75150768,7.507518352
